author,body
hamilton,people state new york unequivocal experience inefficacy subsisting federal government called upon deliberate new constitution united states america subject speaks importance comprehending consequences nothing less existence union safety welfare parts composed fate empire many respects interesting world frequently remarked seems reserved people country conduct example decide important question whether societies men really capable establishing good government reflection choice whether forever destined depend political constitutions accident force truth remark crisis arrived may propriety regarded era decision made wrong election part shall act may view deserve considered general misfortune mankind idea add inducements philanthropy patriotism heighten solicitude considerate good men must feel event happy choice directed judicious estimate true interests unperplexed unbiased considerations connected public good thing ardently wished seriously expected plan offered deliberations affects many particular interests innovates upon many local institutions involve discussion variety objects foreign merits views passions prejudices little favorable discovery truth among formidable obstacles new constitution encounter may readily distinguished obvious interest certain class men every state resist changes may hazard diminution power emolument consequence offices hold state establishments perverted ambition another class men either hope aggrandize confusions country flatter fairer prospects elevation subdivision empire several partial confederacies union one government however design dwell upon observations nature well aware would disingenuous resolve indiscriminately opposition set men merely situations might subject suspicion interested ambitious views candor oblige us admit even men may actuated upright intentions doubted much opposition made appearance may hereafter make appearance spring sources blameless least respectable honest errors minds led astray preconceived jealousies fears numerous indeed powerful causes serve give false bias judgment upon many occasions see wise good men wrong well right side questions first magnitude society circumstance duly attended would furnish lesson moderation ever much persuaded right controversy reason caution respect might drawn reflection always sure advocate truth influenced purer principles antagonists ambition avarice personal animosity party opposition many motives laudable apt operate well upon support oppose right side question even inducements moderation nothing could ill judged intolerant spirit times characterized political parties politics religion equally absurd aim making proselytes fire sword heresies either rarely cured persecution yet however sentiments allowed already sufficient indications happen former cases great national discussion torrent angry malignant passions let loose judge conduct opposite parties shall led conclude mutually hope evince justness opinions increase number converts loudness declamations bitterness invectives enlightened zeal energy efficiency government stigmatized offspring temper fond despotic power hostile principles liberty scrupulous jealousy danger rights people commonly fault head heart represented mere pretense artifice stale bait popularity expense public good forgotten one hand jealousy usual concomitant love noble enthusiasm liberty apt infected spirit narrow illiberal distrust hand equally forgotten vigor government essential security liberty contemplation sound well informed judgment interest never separated dangerous ambition often lurks behind specious mask zeal rights people forbidden appearance zeal firmness efficiency government history teach us former found much certain road introduction despotism latter men overturned liberties republics greatest number begun career paying obsequious court people commencing demagogues ending tyrants course preceding observations eye fellow citizens putting upon guard attempts whatever quarter influence decision matter utmost moment welfare impressions may result evidence truth doubt time collected general scope proceed source unfriendly new constitution yes countrymen given attentive consideration clearly opinion interest adopt convinced safest course liberty dignity happiness affect reserves feel amuse appearance deliberation decided frankly acknowledge convictions freely lay reasons founded consciousness good intentions disdains ambiguity shall however multiply professions head motives must remain depository breast arguments open may judged shall least offered spirit disgrace cause truth propose series papers discuss following interesting particulars utility union political prosperity insufficiency present confederation preserve union necessity government least equally energetic one proposed attainment object conformity proposed constitution true principles republican government analogy state constitution lastly additional security adoption afford preservation species government liberty property progress discussion shall endeavor give satisfactory answer objections shall made appearance may seem claim attention may perhaps thought superfluous offer arguments prove utility union point doubt deeply engraved hearts great body people every state one may imagined adversaries fact already hear whispered private circles oppose new constitution thirteen states great extent general system must necessity resort separate confederacies distinct portions whole 1 doctrine probability gradually propagated till votaries enough countenance open avowal nothing evident able take enlarged view subject alternative adoption new constitution dismemberment union therefore use begin examining advantages union certain evils probable dangers every state exposed dissolution shall accordingly constitute subject next address publius 1 idea tracing arguments consequences held several late publications new constitution
jay,people state new york people america reflect called upon decide question consequences must prove one important ever engaged attention propriety taking comprehensive well serious view evident nothing certain indispensable necessity government equally undeniable whenever however instituted people must cede natural rights order vest requisite powers well worthy consideration therefore whether would conduce interest people america general purposes one nation one federal government divide separate confederacies give head kind powers advised place one national government lately received uncontradicted opinion prosperity people america depended continuing firmly united wishes prayers efforts best wisest citizens constantly directed object politicians appear insist opinion erroneous instead looking safety happiness union ought seek division states distinct confederacies sovereignties however extraordinary new doctrine may appear nevertheless advocates certain characters much opposed formerly present number whatever may arguments inducements wrought change sentiments declarations gentlemen certainly would wise people large adopt new political tenets without fully convinced founded truth sound policy often given pleasure observe independent america composed detached distant territories one connected fertile wide spreading country portion western sons liberty providence particular manner blessed variety soils productions watered innumerable streams delight accommodation inhabitants succession navigable waters forms kind chain round borders bind together noble rivers world running convenient distances present highways easy communication friendly aids mutual transportation exchange various commodities equal pleasure often taken notice providence pleased give one connected country one united people people descended ancestors speaking language professing religion attached principles government similar manners customs joint counsels arms efforts fighting side side throughout long bloody war nobly established general liberty independence country people seem made appears design providence inheritance proper convenient band brethren united strongest ties never split number unsocial jealous alien sovereignties similar sentiments hitherto prevailed among orders denominations men among us general purposes uniformly one people individual citizen everywhere enjoying national rights privileges protection nation made peace war nation vanquished common enemies nation formed alliances made treaties entered various compacts conventions foreign states strong sense value blessings union induced people early period institute federal government preserve perpetuate formed almost soon political existence nay time habitations flames many citizens bleeding progress hostility desolation left little room calm mature inquiries reflections must ever precede formation wise well balanced government free people wondered government instituted times inauspicious experiment found greatly deficient inadequate purpose intended answer intelligent people perceived regretted defects still continuing less attached union enamored liberty observed danger immediately threatened former remotely latter persuaded ample security could found national government wisely framed one voice convened late convention philadelphia take important subject consideration convention composed men possessed confidence people many become highly distinguished patriotism virtue wisdom times tried minds hearts men undertook arduous task mild season peace minds unoccupied subjects passed many months cool uninterrupted daily consultation finally without awed power influenced passions except love country presented recommended people plan produced joint unanimous councils admit fact plan recommended imposed yet let remembered neither recommended blind approbation blind reprobation sedate candid consideration magnitude importance subject demand certainly ought receive remarked foregoing number paper wished expected may considered examined experience former occasion teaches us sanguine hopes yet forgotten well grounded apprehensions imminent danger induced people america form memorable congress 1774 body recommended certain measures constituents event proved wisdom yet fresh memories soon press began teem pamphlets weekly papers measures many officers government obeyed dictates personal interest others mistaken estimate consequences undue influence former attachments whose ambition aimed objects correspond public good indefatigable efforts persuade people reject advice patriotic congress many indeed deceived deluded great majority people reasoned decided judiciously happy reflecting considered congress composed many wise experienced men convened different parts country brought communicated variety useful information course time passed together inquiring discussing true interests country must acquired accurate knowledge head individually interested public liberty prosperity therefore less inclination duty recommend measures mature deliberation really thought prudent advisable similar considerations induced people rely greatly judgment integrity congress took advice notwithstanding various arts endeavors used deter people large reason confide men congress fully tried generally known still greater reason respect judgment advice convention well known distinguished members congress since tried justly approved patriotism abilities grown old acquiring political information also members convention carried accumulated knowledge experience worthy remark first every succeeding congress well late convention invariably joined people thinking prosperity america depended union preserve perpetuate great object people forming convention also great object plan convention advised adopt propriety therefore good purposes attempts particular period made men depreciate importance union suggested three four confederacies would better one persuaded mind people always thought right subject universal uniform attachment cause union rests great weighty reasons shall endeavor develop explain ensuing papers promote idea substituting number distinct confederacies room plan convention seem clearly foresee rejection would put continuance union utmost jeopardy certainly would case sincerely wish may clearly foreseen every good citizen whenever dissolution union arrives america reason exclaim words poet farewell long farewell greatness publius
jay,people state new york new observation people country like americans intelligent wellinformed seldom adopt steadily persevere many years erroneous opinion respecting interests consideration naturally tends create great respect high opinion people america long uniformly entertained importance continuing firmly united one federal government vested sufficient powers general national purposes attentively consider investigate reasons appear given birth opinion become convinced cogent conclusive among many objects wise free people find necessary direct attention providing safety seems first safety people doubtless relation great variety circumstances considerations consequently affords great latitude wish define precisely comprehensively present mean consider respects security preservation peace tranquillity well dangers foreign arms influence dangers like kind arising domestic causes former comes first order proper first discussed let us therefore proceed examine whether people right opinion cordial union efficient national government affords best security devised hostilities abroad number wars happened happen world always found proportion number weight causes whether real pretended provoke invite remark becomes useful inquire whether many causes war likely given united america disunited america turn united america probably give fewest follow respect union tends preserve people state peace nations causes war part arise either violation treaties direct violence america already formed treaties less six foreign nations except prussia maritime therefore able annoy injure us also extensive commerce portugal spain britain respect two latter addition circumstance neighborhood attend high importance peace america observe laws nations towards powers appears evident perfectly punctually done one national government could either thirteen separate states three four distinct confederacies efficient national government established best men country consent serve also generally appointed manage although town country contracted influence may place men state assemblies senates courts justice executive departments yet general extensive reputation talents qualifications necessary recommend men offices national government especially widest field choice never experience want proper persons uncommon states hence result administration political counsels judicial decisions national government wise systematical judicious individual states consequently satisfactory respect nations well safe respect us national government treaties articles treaties well laws nations always expounded one sense executed manner whereas adjudications points questions thirteen states three four confederacies always accord consistent well variety independent courts judges appointed different independent governments different local laws interests may affect influence wisdom convention committing questions jurisdiction judgment courts appointed responsible one national government much commended prospect present loss advantage may often tempt governing party one two states swerve good faith justice temptations reaching states consequently little influence national government temptation fruitless good faith justice preserved case treaty peace britain adds great weight reasoning even governing party state disposed resist temptations yet temptations may commonly result circumstances peculiar state may affect great number inhabitants governing party may always able willing prevent injustice meditated punish aggressors national government affected local circumstances neither induced commit wrong want power inclination prevent punish commission others far therefore either designed accidental violations treaties laws nations afford causes war less apprehended one general government several lesser ones respect former favors safety people causes war proceed direct unlawful violence appears equally clear one good national government affords vastly security dangers sort derived quarter violences frequently caused passions interests part whole one two states union single indian war yet occasioned aggressions present federal government feeble several instances indian hostilities provoked improper conduct individual states either unable unwilling restrain punish offenses given occasion slaughter many innocent inhabitants neighborhood spanish british territories bordering states others naturally confines causes quarrel immediately borderers bordering states impulse sudden irritation quick sense apparent interest injury likely direct violence excite war nations nothing effectually obviate danger national government whose wisdom prudence diminished passions actuate parties immediately interested fewer causes war given national government also power accommodate settle amicably temperate cool respect well others capacity act advisedly offending state pride states well men naturally disposes justify actions opposes acknowledging correcting repairing errors offenses national government cases affected pride proceed moderation candor consider decide means proper extricate difficulties threaten besides well known acknowledgments explanations compensations often accepted satisfactory strong united nation would rejected unsatisfactory offered state confederacy little consideration power year 1685 state genoa offended louis xiv endeavored appease demanded send doge chief magistrate accompanied four senators france ask pardon receive terms obliged submit sake peace would occasion either demanded received like humiliation spain britain powerful nation publius
jay,people state new york last paper assigned several reasons safety people would best secured union danger may exposed causes war given nations reasons show causes would rarely given would also easily accommodated national government either state governments proposed little confederacies safety people america dangers foreign force depends forbearing give causes war nations also placing continuing situation invite hostility insult need observed pretended well causes war true however disgraceful may human nature nations general make war whenever prospect getting anything nay absolute monarchs often make war nations get nothing purposes objects merely personal thirst military glory revenge personal affronts ambition private compacts aggrandize support particular families partisans variety motives affect mind sovereign often lead engage wars sanctified justice voice interests people independent inducements war prevalent absolute monarchies well deserve attention others affect nations often kings examination found grow relative situation circumstances france britain rivals fisheries supply markets cheaper notwithstanding efforts prevent bounties duties foreign fish european nations rivals navigation carrying trade shall deceive suppose rejoice see flourish carrying trade increase without degree diminishing interest policy restrain promote trade china india interfere one nation inasmuch enables us partake advantages manner monopolized thereby supply commodities used purchase extension commerce vessels give pleasure nations possess territories near continent cheapness excellence productions added circumstance vicinity enterprise address merchants navigators give us greater share advantages territories afford consists wishes policy respective sovereigns spain thinks convenient shut mississippi us one side britain excludes us saint lawrence either permit waters us become means mutual intercourse traffic like considerations might consistent prudence amplified detailed easy see jealousies uneasinesses may gradually slide minds cabinets nations expect regard advancement union power consequence land sea eye indifference composure people america aware inducements war may arise circumstances well others obvious present whenever inducements may find fit time opportunity operation pretenses color justify wanting wisely therefore consider union good national government necessary put keep situation instead inviting war tend repress discourage situation consists best possible state defense necessarily depends government arms resources country safety whole interest whole provided without government either one many let us inquire whether one good government relative object question competent given number whatever one government collect avail talents experience ablest men whatever part union may found move uniform principles policy harmonize assimilate protect several parts members extend benefit foresight precautions formation treaties regard interest whole particular interests parts connected whole apply resources power whole defense particular part easily expeditiously state governments separate confederacies possibly want concert unity system place militia one plan discipline putting officers proper line subordination chief magistrate consolidate one corps thereby render efficient divided thirteen three four distinct independent companies would militia britain english militia obeyed government england scotch militia obeyed government scotland welsh militia obeyed government wales suppose invasion would three governments agreed able respective forces operate enemy effectually single government great britain would heard much fleets britain time may come wise fleets america may engage attention one national government regulated navigation britain make nursery seamen one national government called forth national means materials forming fleets prowess thunder would never celebrated let england navigation fleet let scotland navigation fleet let wales navigation fleet let ireland navigation fleet let four constituent parts british empire four independent governments easy perceive soon would dwindle comparative insignificance apply facts case leave america divided thirteen please three four independent governments armies could raise pay fleets could ever hope one attacked would others fly succor spend blood money defense would danger flattered neutrality specious promises seduced great fondness peace decline hazarding tranquillity present safety sake neighbors perhaps jealous whose importance content see diminished although conduct would wise would nevertheless natural history states greece countries abounds instances improbable often happened would similar circumstances happen admit might willing help invaded state confederacy proportion shall aids men money afforded shall command allied armies shall receive orders shall settle terms peace case disputes umpire shall decide compel acquiescence various difficulties inconveniences would inseparable situation whereas one government watching general common interests combining directing powers resources whole would free embarrassments conduce far safety people whatever may situation whether firmly united one national government split number confederacies certain foreign nations know view exactly act toward us accordingly see national government efficient well administered trade prudently regulated militia properly organized disciplined resources finances discreetly managed credit established people free contented united much disposed cultivate friendship provoke resentment hand find us either destitute effectual government state right wrong rulers may seem convenient split three four independent probably discordant republics confederacies one inclining britain another france third spain perhaps played three poor pitiful figure america make eyes liable would become contempt outrage soon would dear bought experience proclaim people family divide never fails publius
jay,people state new york queen anne letter 1st july 1706 scotch parliament makes observations importance union forming england scotland merit attention shall present public one two extracts entire perfect union solid foundation lasting peace secure religion liberty property remove animosities amongst jealousies differences betwixt two kingdoms must increase strength riches trade union whole island joined affection free apprehensions different interest enabled resist enemies earnestly recommend calmness unanimity great weighty affair union may brought happy conclusion effectual way secure present future happiness disappoint designs enemies doubtless occasion use utmost endeavors prevent delay union remarked preceding paper weakness divisions home would invite dangers abroad nothing would tend secure us union strength good government within subject copious easily exhausted history great britain one general best acquainted gives us many useful lessons may profit experience without paying price cost although seems obvious common sense people island one nation yet find ages divided three three almost constantly embroiled quarrels wars one another notwithstanding true interest respect continental nations really yet arts policy practices nations mutual jealousies perpetually kept inflamed long series years far inconvenient troublesome useful assisting people america divide three four nations would thing happen would similar jealousies arise like manner cherished instead joined affection free apprehension different interests envy jealousy would soon extinguish confidence affection partial interests confederacy instead general interests america would objects policy pursuits hence like bordering nations would always either involved disputes war live constant apprehension sanguine advocates three four confederacies reasonably suppose would long remain exactly equal footing point strength even possible form first admitting practicable yet human contrivance secure continuance equality independent local circumstances tend beget increase power one part impede progress another must advert effects superior policy good management would probably distinguish government one rest relative equality strength consideration would destroyed presumed degree sound policy prudence foresight would uniformly observed confederacies long succession years whenever whatever causes might happen happen would one nations confederacies rise scale political importance much degree neighbors moment would neighbors behold envy fear passions would lead countenance promote whatever might promise diminish importance would also restrain measures calculated advance even secure prosperity much time would necessary enable discern unfriendly dispositions would soon begin lose confidence neighbors also feel disposition equally unfavorable distrust naturally creates distrust nothing good kind conduct speedily changed invidious jealousies uncandid imputations whether expressed implied north generally region strength many local circumstances render probable northern proposed confederacies would period distant unquestionably formidable others sooner would become evident northern hive would excite ideas sensations southern parts america formerly southern parts europe appear rash conjecture young swarms might often tempted gather honey blooming fields milder air luxurious delicate neighbors well consider history similar divisions confederacies find abundant reason apprehend contemplation would sense neighbors would borderers would neither love trust one another contrary would prey discord jealousy mutual injuries short would place us exactly situations nations doubtless wish see us viz formidable considerations appears gentlemen greatly mistaken suppose alliances offensive defensive might formed confederacies would produce combination union wills arms resources would necessary put keep formidable state defense foreign enemies independent states britain spain formerly divided combine alliance unite forces foreign enemy proposed confederacies distinct nations would commerce foreigners regulate distinct treaties productions commodities different proper different markets would treaties essentially different different commercial concerns must create different interests course different degrees political attachment connection different foreign nations hence might probably would happen foreign nation southern confederacy might war would one northern confederacy would desirous preserving peace friendship alliance contrary immediate interest would therefore easy form formed would observed fulfilled perfect good faith nay far probable america europe neighboring nations acting impulse opposite interests unfriendly passions would frequently found taking different sides considering distance europe would natural confederacies apprehend danger one another distant nations therefore desirous guard others aid foreign alliances guard foreign dangers alliances let us forget much easy receive foreign fleets ports foreign armies country persuade compel depart many conquests romans others make characters allies innovations character introduce governments pretended protect let candid men judge whether division america given number independent sovereignties would tend secure us hostilities improper interference foreign nations publius
hamilton,people state new york three last numbers paper dedicated enumeration dangers exposed state disunion arms arts foreign nations shall proceed delineate dangers different perhaps still alarming kind probability flow dissensions states domestic factions convulsions already instances slightly anticipated deserve particular full investigation man must far gone utopian speculations seriously doubt states either wholly disunited united partial confederacies subdivisions might thrown would frequent violent contests presume want motives contests argument existence would forget men ambitious vindictive rapacious look continuation harmony number independent unconnected sovereignties neighborhood would disregard uniform course human events set defiance accumulated experience ages causes hostility among nations innumerable general almost constant operation upon collective bodies society description love power desire pre eminence dominion jealousy power desire equality safety others circumscribed though equally operative influence within spheres rivalships competitions commerce commercial nations others less numerous either former take origin entirely private passions attachments enmities interests hopes fears leading individuals communities members men class whether favorites king people many instances abused confidence possessed assuming pretext public motive scrupled sacrifice national tranquillity personal advantage personal gratification celebrated pericles compliance resentment prostitute 1 expense much blood treasure countrymen attacked vanquished destroyed city sammians man stimulated private pique megarensians 2 another nation greece avoid prosecution threatened accomplice supposed theft statuary phidias 3 get rid accusations prepared brought dissipating funds state purchase popularity 4 combination causes primitive author famous fatal war distinguished grecian annals name peloponnesian war various vicissitudes intermissions renewals terminated ruin athenian commonwealth ambitious cardinal prime minister henry viii permitting vanity aspire triple crown 5 entertained hopes succeeding acquisition splendid prize influence emperor charles v secure favor interest enterprising powerful monarch precipitated england war france contrary plainest dictates policy hazard safety independence well kingdom presided counsels europe general ever sovereign bid fair realize project universal monarchy emperor charles v whose intrigues wolsey instrument dupe influence bigotry one female 6 petulance another 7 cabals third 8 contemporary policy ferments pacifications considerable part europe topics often descanted upon generally known multiply examples agency personal considerations production great national events either foreign domestic according direction would unnecessary waste time superficial acquaintance sources drawn recollect variety instances tolerable knowledge human nature stand need lights form opinion either reality extent agency perhaps however reference tending illustrate general principle may propriety made case lately happened among shays desperate debtor much doubted whether massachusetts would plunged civil war notwithstanding concurring testimony experience particular still found visionary designing men stand ready advocate paradox perpetual peace states though dismembered alienated genius republics say pacific spirit commerce tendency soften manners men extinguish inflammable humors often kindled wars commercial republics like never disposed waste ruinous contentions governed mutual interest cultivate spirit mutual amity concord may ask projectors politics true interest nations cultivate benevolent philosophic spirit true interest fact pursued contrary invariably found momentary passions immediate interest active imperious control human conduct general remote considerations policy utility justice republics practice less addicted war monarchies former administered men well latter aversions predilections rivalships desires unjust acquisitions affect nations well kings popular assemblies frequently subject impulses rage resentment jealousy avarice irregular violent propensities well known determinations often governed individuals place confidence course liable tinctured passions views individuals commerce hitherto done anything change objects war love wealth domineering enterprising passion power glory many wars founded upon commercial motives since become prevailing system nations occasioned cupidity territory dominion spirit commerce many instances administered new incentives appetite one let experience least fallible guide human opinions appealed answer inquiries sparta athens rome carthage republics two athens carthage commercial kind yet often engaged wars offensive defensive neighboring monarchies times sparta little better wellregulated camp rome never sated carnage conquest carthage though commercial republic aggressor war ended destruction hannibal carried arms heart italy gates rome scipio turn gave overthrow territories carthage made conquest commonwealth venice later times figured wars ambition till becoming object italian states pope julius ii found means accomplish formidable league 9 gave deadly blow power pride haughty republic provinces holland till overwhelmed debts taxes took leading conspicuous part wars europe furious contests england dominion sea among persevering implacable opponents louis xiv government britain representatives people compose one branch national legislature commerce ages predominant pursuit country nations nevertheless frequently engaged war wars kingdom engaged numerous instances proceeded people may express almost many popular royal wars cries nation importunities representatives upon various occasions dragged monarchs war continued contrary inclinations sometimes contrary real interests state memorable struggle superiority rival houses austria bourbon long kept europe flame well known antipathies english french seconding ambition rather avarice favorite leader 10 protracted war beyond limits marked sound policy considerable time opposition views court wars two last mentioned nations great measure grown commercial considerations desire supplanting fear supplanted either particular branches traffic general advantages trade navigation sometimes even culpable desire sharing commerce nations without consent last war britain spain sprang attempts british merchants prosecute illicit trade spanish main unjustifiable practices part produced severity part spaniards toward subjects great britain justifiable exceeded bounds retaliation chargeable inhumanity cruelty many english taken spanish coast sent dig mines potosi usual progress spirit resentment innocent confounded guilty indiscriminate punishment complaints merchants kindled violent flame throughout nation soon broke house commons communicated body ministry letters reprisal granted war ensued consequences overthrew alliances twenty years formed sanguine expectations beneficial fruits summary taken place countries whose situations borne nearest resemblance reason confide reveries would seduce us expectation peace cordiality members present confederacy state separation already seen enough fallacy extravagance idle theories amused us promises exemption imperfections weaknesses evils incident society every shape time awake deceitful dream golden age adopt practical maxim direction political conduct well inhabitants globe yet remote happy empire perfect wisdom perfect virtue let point extreme depression national dignity credit sunk let inconveniences felt everywhere lax ill administration government let revolt part state north carolina late menacing disturbances pennsylvania actual insurrections rebellions massachusetts declare far general sense mankind corresponding tenets endeavor lull asleep apprehensions discord hostility states event disunion long observation progress society become sort axiom politics vicinity nearness situation constitutes nations natural enemies intelligent writer expresses subject effect neighboring nations says naturally enemies unless common weakness forces league confederate republic constitution prevents differences neighborhood occasions extinguishing secret jealousy disposes states aggrandize expense neighbors 11 passage time points evil suggests remedy publius 1 aspasia vide plutarch life pericles 2 ibid 3 ibid 4 ibid phidias supposed stolen public gold connivance pericles embellishment statue minerva 5 worn popes 6 madame de maintenon 7 duchess marlborough 8 madame de pompadour 9 league cambray comprehending emperor king france king aragon italian princes states 10 duke marlborough 11 vide principes des negociations par l abbé de mably
hamilton,people state new york sometimes asked air seeming triumph inducements could states disunited make war upon would full answer question say precisely inducements different times deluged blood nations world unfortunately us question admits particular answer causes differences within immediate contemplation tendency even restraints federal constitution sufficient experience enable us form judgment might expected restraints removed territorial disputes times found one fertile sources hostility among nations perhaps greatest proportion wars desolated earth sprung origin cause would exist among us full force vast tract unsettled territory within boundaries united states still discordant undecided claims several dissolution union would lay foundation similar claims well known heretofore serious animated discussion concerning rights lands ungranted time revolution usually went name crown lands states within limits whose colonial governments comprised claimed property others contended rights crown article devolved upon union especially part western territory either actual possession submission indian proprietors subjected jurisdiction king great britain till relinquished treaty peace said events acquisition confederacy compact foreign power prudent policy congress appease controversy prevailing upon states make cessions united states benefit whole far accomplished continuation union afford decided prospect amicable termination dispute dismemberment confederacy however would revive dispute would create others subject present large part vacant western territory cession least anterior right common property union end states made cession principle federal compromise would apt motive grant ceased reclaim lands reversion states would doubt insist proportion right representation argument would grant made could revoked justice participating territory acquired secured joint efforts confederacy remained undiminished contrary probability admitted states right share common stock would still difficulty surmounted proper rule apportionment different principles would set different states purpose would affect opposite interests parties might easily susceptible pacific adjustment wide field western territory therefore perceive ample theatre hostile pretensions without umpire common judge interpose contending parties reason past future shall good ground apprehend sword would sometimes appealed arbiter differences circumstances dispute connecticut pennsylvania respecting land wyoming admonish us sanguine expecting easy accommodation differences articles confederation obliged parties submit matter decision federal court submission made court decided favor pennsylvania connecticut gave strong indications dissatisfaction determination appear entirely resigned till negotiation management something like equivalent found loss supposed sustained nothing said intended convey slightest censure conduct state doubt sincerely believed injured decision states like individuals acquiesce great reluctance determinations disadvantage opportunity seeing inside transactions attended progress controversy state district vermont vouch opposition experienced well states interested interested claim attest danger peace confederacy might exposed state attempted assert rights force two motives preponderated opposition one jealousy entertained future power interest certain individuals influence neighboring states obtained grants lands actual government district even states brought forward claims contradiction seemed solicitous dismember state establish pretensions new hampshire massachusetts connecticut new jersey rhode island upon occasions discovered warm zeal independence vermont maryland till alarmed appearance connection canada state entered deeply views small states saw unfriendly eye perspective growing greatness review transactions may trace causes would likely embroil states unpropitious destiny become disunited competitions commerce would another fruitful source contention states less favorably circumstanced would desirous escaping disadvantages local situation sharing advantages fortunate neighbors state separate confederacy would pursue system commercial policy peculiar would occasion distinctions preferences exclusions would beget discontent habits intercourse basis equal privileges accustomed since earliest settlement country would give keener edge causes discontent would naturally independent circumstance ready denominate injuries things reality justifiable acts independent sovereignties consulting distinct interest spirit enterprise characterizes commercial part america left occasion displaying unimproved probable unbridled spirit would pay much respect regulations trade particular states might endeavor secure exclusive benefits citizens infractions regulations one side efforts prevent repel would naturally lead outrages reprisals wars opportunities states would rendering others tributary commercial regulations would impatiently submitted tributary states relative situation new york connecticut new jersey would afford example kind new york necessities revenue must lay duties importations great part duties must paid inhabitants two states capacity consumers import new york would neither willing able forego advantage citizens would consent duty paid remitted favor citizens neighbors would practicable impediment way distinguish customers markets would connecticut new jersey long submit taxed new york exclusive benefit long permitted remain quiet undisturbed enjoyment metropolis possession derived advantage odious neighbors opinion oppressive able preserve incumbent weight connecticut one side co operating pressure new jersey questions temerity alone answer affirmative public debt union would cause collision separate states confederacies apportionment first instance progressive extinguishment afterward would alike productive ill humor animosity would possible agree upon rule apportionment satisfactory scarcely proposed entirely free real objections usual would exaggerated adverse interest parties even dissimilar views among states general principle discharging public debt either less impressed importance national credit citizens little immediate interest question feel indifference repugnance payment domestic debt rate would inclined magnify difficulties distribution others numerous body whose citizens creditors public beyond proportion state total amount national debt would strenuous equitable effective provision procrastinations former would excite resentments latter settlement rule would meantime postponed real differences opinion affected delays citizens states interested would clamour foreign powers would urge satisfaction demands peace states would hazarded double contingency external invasion internal contention suppose difficulties agreeing upon rule surmounted apportionment made still great room suppose rule agreed upon would upon experiment found bear harder upon states upon others sufferers would naturally seek mitigation burden others would naturally disinclined revision likely end increase incumbrances refusal would plausible pretext complaining states withhold contributions embraced avidity non compliance states engagements would ground bitter discussion altercation even rule adopted practice justify equality principle still delinquencies payments part states would result diversity causes real deficiency resources mismanagement finances accidental disorders management government addition rest reluctance men commonly part money purposes outlived exigencies produced interfere supply immediate wants delinquencies whatever causes would productive complaints recriminations quarrels perhaps nothing likely disturb tranquillity nations bound mutual contributions common object yield equal coincident benefit observation true trite nothing men differ readily payment money laws violation private contracts amount aggressions rights states whose citizens injured may considered another probable source hostility authorized expect liberal equitable spirit would preside legislations individual states hereafter unrestrained additional checks heretofore seen many instances disgracing several codes observed disposition retaliation excited connecticut consequence enormities perpetrated legislature rhode island reasonably infer similar cases circumstances war parchment sword would chastise atrocious breaches moral obligation social justice probability incompatible alliances different states confederacies different foreign nations effects situation upon peace whole sufficiently unfolded preceding papers view exhibited part subject conclusion drawn america connected feeble tie simple league offensive defensive would operation jarring alliances gradually entangled pernicious labyrinths european politics wars destructive contentions parts divided would likely become prey artifices machinations powers equally enemies divide et impera 1 must motto every nation either hates fears us 2 publius 1 divide command 2 order whole subject papers may soon possible laid public proposed publish four times week tuesday new york packet thursday daily advertiser
